,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
209,Khandyga,6,RU,1625807866,31,62.6667,135.6,85.42,8.19
210,Jiuquan,100,CN,1625807868,24,39.7432,98.5174,85.84,6.38
211,Belfast,75,GB,1625807870,95,54.5833,-5.9333,57.79,2.3
212,Shelburne,100,CA,1625807710,100,44.0787,-80.2041,61.29,5.32
213,Solok,42,ID,1625807873,56,-0.7918,100.6593,81.55,2.39
214,Kočevje,11,SI,1625807875,85,45.6433,14.8633,72.52,3.0
215,Udachny,100,RU,1625807877,89,66.4167,112.4,44.8,19.15
216,Patacamaya,0,BO,1625807879,70,-17.2333,-67.9167,41.94,3.71
217,Saint Paul Harbor,90,US,1625807881,71,57.79,-152.4072,54.91,0.0
218,Garoowe,72,SO,1625807883,52,8.4054,48.4845,77.95,30.62
219,Katete,88,UG,1625807885,75,-0.7818,29.7544,63.81,1.01
220,Onega,84,RU,1625807887,75,63.9061,38.1404,64.83,6.6
221,Pinotepa Nacional,100,MX,1625807888,92,16.3167,-98.0167,76.01,3.49
222,Zyryanovsk,77,KZ,1625807890,54,49.7386,84.2719,77.45,3.22
223,Nyurba,94,RU,1625807892,34,63.2842,118.3319,73.36,16.35
224,Aksu,0,CN,1625807894,24,41.1231,80.2644,89.08,8.34
225,Waitati,96,NZ,1625807896,57,-45.75,170.5667,42.8,17.11
226,San Juan de los Lagos,99,MX,1625807898,87,21.25,-102.3,63.7,4.85
227,Betioky,0,MG,1625807900,55,-23.7167,44.3833,65.46,10.22
228,Palu,100,ID,1625807813,91,-0.8917,119.8707,80.76,3.18
229,Nadym,72,RU,1625807903,39,65.5333,72.5167,71.1,17.67
230,Wahiawā,1,US,1625807905,71,21.5028,-158.0236,78.76,6.91
231,Ialibu,39,PG,1625807907,85,-6.2821,143.9935,65.03,3.13
232,Matara,87,LK,1625807909,82,5.9485,80.5353,82.15,13.13
233,Kuytun,18,RU,1625807911,44,54.3419,101.5036,66.56,0.83
234,Hofn,25,IS,1625807913,84,64.2539,-15.2082,52.3,1.74
235,Constitución,100,CL,1625807915,92,-35.3333,-72.4167,50.5,8.84
236,Maputo,0,MZ,1625807695,85,-25.9653,32.5892,61.23,8.99
237,Boddam,100,GB,1625807919,97,57.4667,-1.7833,56.39,2.17
